Number,Instance,Model
Ad 1,photo of yeti cooler by a crowd of people,5
Ad 2,blue photo of yeti cooler,1
Ad 3,photo of yeti cooler inside a car,1
Ad 4,photo of yeti cooler on a beautiful beach,6
Ad 5,black photo of yeti cooler in a picnic setting,6
Ad 6,black photo of yeti cooler in a picnic setting,2
Ad 7,photo of yeti cooler on a beautiful beach,1
Ad 8,photo of yeti cooler,4
Ad 9,other,7
Ad 10,photo of yeti cooler by rocks on a hiking trail,4
Ad 11,photo of yeti cooler at a campsite in the forest,5
Ad 12,other,7
Ad 13,photo of yeti cooler by a crowd of people,3
Ad 14,black photo of yeti cooler in a picnic setting,4
Ad 15,photo of yeti cooler inside a car,4
Ad 16,photo of yeti cooler by a crowd of people,4
Ad 17,photo of yeti cooler on a beautiful beach,4
Ad 18,photo of yeti cooler at a campsite in the forest,6
Ad 19,photo of yeti cooler,1
Ad 20,other,7
Ad 21,photo of yeti cooler at a campsite in the forest,3
Ad 22,photo of yeti cooler,5
Ad 23,photo of yeti cooler at a campsite in the forest,4
Ad 24,photo of yeti cooler inside a car,6
Ad 25,black photo of yeti cooler in a picnic setting,3
Ad 26,other,7
Ad 27,blue photo of yeti cooler,5
Ad 28,blue photo of yeti cooler,3
Ad 29,blue photo of yeti cooler,4
Ad 30,photo of yeti cooler on a beautiful beach,3
Ad 31,black photo of yeti cooler in a picnic setting,1
Ad 32,photo of yeti cooler at a campsite in the forest,1
Ad 33,other,7
Ad 34,photo of yeti cooler on a beautiful beach,5
Ad 35,photo of yeti cooler by rocks on a hiking trail,3
Ad 36,photo of yeti cooler inside a car,3
Ad 37,photo of yeti cooler by a crowd of people,6
Ad 38,photo of yeti cooler by a crowd of people,2
Ad 39,photo of yeti cooler,6
Ad 40,photo of yeti cooler by rocks on a hiking trail,6
Ad 41,blue photo of yeti cooler,6
Ad 42,other,7
Ad 43,photo of yeti cooler by rocks on a hiking trail,2
Ad 44,photo of yeti cooler inside a car,5
Ad 45,blue photo of yeti cooler,2
Ad 46,black photo of yeti cooler in a picnic setting,5
ad 47,other,7
Ad 48,photo of yeti cooler,2
Ad 49,photo of yeti cooler,3
Ad 50,photo of yeti cooler by rocks on a hiking trail,1
Ad 51,photo of yeti cooler by rocks on a hiking trail,5
Ad 52,photo of yeti cooler on a beautiful beach,2
Ad 53,other,7
Ad 54,photo of yeti cooler at a campsite in the forest,2
Ad 55,photo of yeti cooler inside a car,2
Ad 56,photo of yeti cooler by a crowd of people,1
